id,naca,AoA,Re,U_inf,rho,nu,p_inf,p_vap,source
case_234,2415,0.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_235,2415,0.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_236,2415,0.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_237,2415,2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_238,2415,2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_239,2415,2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_240,2415,2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_241,2415,4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_242,2415,4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_243,2415,4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_244,2415,4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_245,2415,6.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_246,2415,6.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_247,2415,6.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_248,2415,6.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_249,2415,8.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_250,2415,8.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_251,2415,8.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_252,2415,8.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_253,2415,10.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_254,2415,10.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_255,2415,10.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_256,2415,10.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_257,4412,-4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_258,4412,-4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_259,4412,-4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_260,4412,-4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_261,4412,-2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_262,4412,-2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_263,4412,-2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_264,4412,-2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_265,4412,0.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_266,4412,0.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_267,4412,0.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_268,4412,0.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_269,4412,2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_270,4412,2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_271,4412,2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_272,4412,2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_273,4412,4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_274,4412,4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_275,4412,4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_276,4412,4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_277,4412,6.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_278,4412,6.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_279,4412,6.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_280,4412,6.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_281,4412,8.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_282,4412,8.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_283,4412,8.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_284,4412,8.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_285,4412,10.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_286,4412,10.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_287,4412,10.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_288,4412,10.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_289,4415,-4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_290,4415,-4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_291,4415,-4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_292,4415,-4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_293,4415,-2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
