naca,Re,reference_case,reference_AoA,case,AoA,max_abs_pressure_difference_Pa,exact_duplicate_across_AoA
0010,1000000.0,case_068,-4.0,case_092,8.0,0.0,True
0010,1000000.0,case_068,-4.0,case_096,10.0,0.0,True
0012,100000.0,case_097,-4.0,case_101,-2.0,0.0,True
0012,100000.0,case_097,-4.0,case_105,0.0,0.0,True
0012,100000.0,case_097,-4.0,case_109,2.0,0.0,True
0012,100000.0,case_097,-4.0,case_113,4.0,0.0,True
0012,100000.0,case_097,-4.0,case_117,6.0,0.0,True
0012,100000.0,case_097,-4.0,case_121,8.0,0.0,True
0012,100000.0,case_097,-4.0,case_125,10.0,0.0,True
0012,200000.0,case_098,-4.0,case_102,-2.0,0.0,True
0012,200000.0,case_098,-4.0,case_106,0.0,0.0,True
0012,200000.0,case_098,-4.0,case_110,2.0,0.0,True
0012,200000.0,case_098,-4.0,case_114,4.0,0.0,True
0012,200000.0,case_098,-4.0,case_118,6.0,0.0,True
0012,200000.0,case_098,-4.0,case_122,8.0,0.0,True
0012,200000.0,case_098,-4.0,case_126,10.0,0.0,True
0012,500000.0,case_099,-4.0,case_103,-2.0,0.0,True
0012,500000.0,case_099,-4.0,case_107,0.0,0.0,True
0012,500000.0,case_099,-4.0,case_111,2.0,0.0,True
0012,500000.0,case_099,-4.0,case_115,4.0,0.0,True
0012,500000.0,case_099,-4.0,case_119,6.0,0.0,True
0012,500000.0,case_099,-4.0,case_123,8.0,0.0,True
0012,500000.0,case_099,-4.0,case_127,10.0,0.0,True
0012,1000000.0,case_100,-4.0,case_104,-2.0,0.0,True
0012,1000000.0,case_100,-4.0,case_108,0.0,0.0,True
0012,1000000.0,case_100,-4.0,case_112,2.0,0.0,True
0012,1000000.0,case_100,-4.0,case_116,4.0,0.0,True
0012,1000000.0,case_100,-4.0,case_120,6.0,0.0,True
0012,1000000.0,case_100,-4.0,case_124,8.0,0.0,True
0012,1000000.0,case_100,-4.0,case_128,10.0,0.0,True
0015,100000.0,case_129,-4.0,case_133,-2.0,0.0,True
0015,100000.0,case_129,-4.0,case_137,0.0,0.0,True
0015,100000.0,case_129,-4.0,case_141,2.0,0.0,True
0015,100000.0,case_129,-4.0,case_145,4.0,0.0,True
0015,100000.0,case_129,-4.0,case_149,6.0,0.0,True
0015,100000.0,case_129,-4.0,case_153,8.0,0.0,True
0015,100000.0,case_129,-4.0,case_157,10.0,0.0,True
0015,200000.0,case_130,-4.0,case_134,-2.0,0.0,True
0015,200000.0,case_130,-4.0,case_138,0.0,0.0,True
0015,200000.0,case_130,-4.0,case_142,2.0,0.0,True
0015,200000.0,case_130,-4.0,case_146,4.0,0.0,True
0015,200000.0,case_130,-4.0,case_150,6.0,0.0,True
0015,200000.0,case_130,-4.0,case_154,8.0,0.0,True
0015,200000.0,case_130,-4.0,case_158,10.0,0.0,True
0015,500000.0,case_131,-4.0,case_135,-2.0,0.0,True
0015,500000.0,case_131,-4.0,case_139,0.0,0.0,True
0015,500000.0,case_131,-4.0,case_143,2.0,0.0,True
0015,500000.0,case_131,-4.0,case_147,4.0,0.0,True
0015,500000.0,case_131,-4.0,case_151,6.0,0.0,True
0015,500000.0,case_131,-4.0,case_155,8.0,0.0,True
0015,500000.0,case_131,-4.0,case_159,10.0,0.0,True
0015,1000000.0,case_132,-4.0,case_136,-2.0,0.0,True
0015,1000000.0,case_132,-4.0,case_140,0.0,0.0,True
0015,1000000.0,case_132,-4.0,case_144,2.0,0.0,True
0015,1000000.0,case_132,-4.0,case_148,4.0,0.0,True
0015,1000000.0,case_132,-4.0,case_152,6.0,0.0,True
0015,1000000.0,case_132,-4.0,case_156,8.0,0.0,True
0015,1000000.0,case_132,-4.0,case_160,10.0,0.0,True
0018,100000.0,case_161,-4.0,case_165,-2.0,0.0,True
0018,100000.0,case_161,-4.0,case_169,0.0,0.0,True
0018,100000.0,case_161,-4.0,case_173,2.0,0.0,True
0018,100000.0,case_161,-4.0,case_177,4.0,0.0,True
