AoA,Cd_grid_pressure,Cd_model_integrated_pressure,Cd_model_pressure,Cd_openfoam_total,Cl_grid_pressure,Cl_model_integrated_pressure,Cl_model_pressure,Cl_openfoam_total,L_over_D_model_pressure,L_over_D_openfoam_total,Re,U_inf,case,model,naca
6.0,0.024427662548430224,0.0037017972014315773,0.04175347462296486,0.03737801,0.2949417261884738,0.05788748579555507,0.6443098783493042,0.589904,15.431287675275936,15.78211360101835,1000000.0,1.0,case_024,unet,0006
8.0,0.04178242655622149,0.8238523841955347,0.06382625550031662,0.07555937,0.37811122138302966,8.33268333608843,0.7862262725830078,0.7433421,12.318226510704637,9.83785465654359,100000.0,0.09999999999999999,case_025,unet,0006
8.0,0.042067557966031524,0.2090730777362357,0.06489498168230057,0.07287644,0.3822543936436812,2.1105762042177463,0.7891778349876404,0.7521703,12.160845330862932,10.321172384381015,200000.0,0.19999999999999998,case_026,unet,0006
8.0,0.041262015466376284,0.034967400086471936,0.06824053823947906,0.06958468,0.3766227402924965,0.35089960540049775,0.7971590757369995,0.742898,11.681605923732597,10.676171824027932,500000.0,0.5,case_027,unet,0006
8.0,0.041257293561427356,0.009369025497436305,0.07412365078926086,0.06890893,0.3770604042261787,0.09310335186515852,0.8085646629333496,0.7438761,10.908322166054125,10.79506095944314,1000000.0,1.0,case_028,unet,0006
10.0,0.0602382517496338,1.4217769201472,0.09934687614440918,0.1127567,0.43584294191919304,10.37818181081759,0.8737528324127197,0.8648489,8.794970373730175,7.670044440818151,100000.0,0.09999999999999999,case_029,unet,0006
10.0,0.06313401829237593,0.05677831759692927,0.10113082826137543,0.1105732,0.4408637621293589,0.414794799563319,0.8856698870658875,0.8605276,8.757664722935415,7.782424674333383,500000.0,0.5,case_031,unet,0006
10.0,0.06315656665351535,0.014133475820490498,0.10305995494127274,0.110035,0.44131816881290326,0.10334320949505423,0.8997485637664795,0.8613147,8.730341132782257,7.827643022674604,1000000.0,1.0,case_032,unet,0006
-4.0,0.006562285803127247,0.0343684592659108,0.023540295660495758,0.02496689,-0.1282308042251114,-0.6542453581922163,-0.2600156366825104,-0.4682508,-11.045555265427556,-18.75487095108762,200000.0,0.19999999999999998,case_034,unet,0008
-4.0,0.006515220911890409,0.005478283830609707,0.02337699756026268,0.02227536,-0.12939531136350296,-0.1035723905070917,-0.25651848316192627,-0.4719542,-10.973115024744173,-21.18727598566308,500000.0,0.5,case_035,unet,0008
-4.0,0.0064998233964287154,0.001360340903843831,0.023081406950950623,0.02135967,-0.12978031572536458,-0.025364334282225547,-0.24995526671409607,-0.4731953,-10.829290746671814,-22.153680276895663,1000000.0,1.0,case_036,unet,0008
-2.0,0.002502193028108006,0.052371175870585325,0.020499780774116516,0.02157982,-0.07428886635236552,-2.0015819064146703,-0.1742846667766571,-0.2627754,-8.501781979869406,-12.176904163241398,100000.0,0.09999999999999999,case_037,unet,0008
-2.0,0.0023731603933487013,0.012997984776063407,0.0203278586268425,0.01677183,-0.07352849285209045,-0.4925911530538241,-0.17020228505134583,-0.2615175,-8.372858557103372,-15.592663412400436,200000.0,0.19999999999999998,case_038,unet,0008
-2.0,0.002296600287565659,0.0020070108647142998,0.019770458340644836,0.0139321,-0.07441510421615263,-0.07466722315601525,-0.15687808394432068,-0.2642411,-7.934974558571813,-18.96635108849348,500000.0,0.5,case_039,unet,0008
-2.0,0.0022712476626566562,0.00044871103821817826,0.018704093992710114,0.012966,-0.07471775817328233,-0.016732544290829026,-0.13137242197990417,-0.2651554,-7.0237255026149,-20.450053987351534,1000000.0,1.0,case_040,unet,0008
0.0,0.0008312295449698783,-0.0034668078290196807,0.014387242496013641,0.01874193,-0.01719970284379318,-0.5606166462352979,0.03896735608577728,-0.04829616,2.708465927127745,-2.5769042996105522,100000.0,0.09999999999999999,case_041,unet,0008
0.0,0.0007429466400348477,-0.0006682330143595615,0.014307117089629173,0.01393857,-0.016501288608037828,-0.13088371783284655,0.04490707814693451,-0.04653335,3.138792942394131,-3.3384593971978473,200000.0,0.19999999999999998,case_042,unet,0008
