AoA,Cd,Cl,L_over_D,cache_key,case_id,error,evaluation,m,min_cavitation_margin,objective,p,risky_cell_fraction,start,status,t,wall_seconds
4.067319887876511,0.02235482,0.610786,27.321118169675728,e0977c6d93e3,start_2412_eval_047_e0977c6d93e3,,47,0.020380444884300228,98886.398057,27.321118169675728,0.4031087034940719,0.0,2412,ok,0.11676029688119888,9.799570916999073
4.075601947307587,0.02450927,0.6098413,24.881051901917033,e71c6e10269c,start_2412_eval_048_e71c6e10269c,,48,0.020384767293930045,98883.590505,24.881051901917033,0.40349866747856133,0.0,2412,ok,0.11671041548252103,10.01091712500056
4.063639476895334,0.02235138,0.6105025,27.312639638374076,b013b1854c12,start_2412_eval_049_b013b1854c12,,49,0.020368873655796045,98886.472832,27.312639638374076,0.40393713742494586,0.0,2412,ok,0.11680549773573876,9.88519533300132
4.065843741595746,0.02300578,0.6071051,26.388095161513256,038e6f24d13a,start_2412_eval_050_038e6f24d13a,,50,0.020379438966512675,98884.250519,26.388095161513256,0.40370011731982225,0.0,2412,ok,0.11690443624556063,10.006576792002306
4.057755298167469,0.02297666,0.6060328,26.374870200011664,3562105b0daa,start_2412_eval_051_3562105b0daa,,51,0.02035869051516056,98884.574544,26.374870200011664,0.40385453052818776,0.0,2412,ok,0.11696780278533697,10.020525374995486
4.062216960452499,0.02299121,0.6065764,26.381822365053203,ae5b6f9ee1e6,start_2412_eval_052_ae5b6f9ee1e6,,52,0.02036520970985293,98884.376141,26.381822365053203,0.4037655647657811,0.0,2412,ok,0.11690345595963297,9.831564416999754
4.071140285022556,0.02237835,0.6112548,27.313340199782385,9800f6817d49,start_2412_eval_053_9800f6817d49,,53,0.020378248099237675,98886.230561,27.313340199782385,0.40358763324096797,0.0,2412,ok,0.11677476230822503,9.983935541997198
4.070161775592716,0.02448297,0.6090925,24.877195160752116,fcfa0c9064b9,start_2412_eval_054_fcfa0c9064b9,,54,0.02036342340894043,98883.701172,24.877195160752116,0.40359683864749973,0.0,2412,ok,0.11670894505362958,10.405557875004888
4.066923250094988,0.02236115,0.6107116,27.310057396091164,791b674ba1ac,start_2412_eval_055_791b674ba1ac,,55,0.020375435077119614,98886.428964,27.310057396091164,0.4036742976517416,0.0,2412,ok,0.11685556344757786,10.266191583999898
4.064600065362175,0.02445819,0.6086609,24.884752929267073,3c1fe906f851,start_2412_eval_056_3c1fe906f851,,56,0.020393342746654518,98883.911539,24.884752929267073,0.4031934481312055,0.0,2412,ok,0.11671185451315248,10.161066708998987
4.068583554777433,0.02236691,0.6107981,27.306891882165118,b65805a92a2e,start_2412_eval_057_b65805a92a2e,,57,0.020366954270342824,98886.351198,27.306891882165118,0.40376869036379504,0.0,2412,ok,0.11684261788320144,10.103723458996683
4.0659278951672615,0.02234983,0.6107432,27.325302908214145,328d02550ef7,start_2412_eval_058_328d02550ef7,,58,0.020384546587883953,98886.423979,27.325302908214145,0.40338519554206864,0.0,2412,ok,0.11675544230316881,10.286391834000824
4.0670905223858425,0.02447198,0.608844,24.87821262469875,bda31b5b4e12,start_2412_eval_060_bda31b5b4e12,,60,0.02038062153648934,98883.809845,24.87821262469875,0.4033350371992856,0.0,2412,ok,0.11669243616658787,10.243503917001362
4.066965068167702,0.02236481,0.6108642,27.312411220519174,f16afb8308a4,start_2412_eval_061_f16afb8308a4,,61,0.020376731691962045,98886.390081,27.312411220519174,0.4035894825386276,0.0,2412,ok,0.11681478162733036,9.995184332998178
4.0670487043131285,0.02432136,0.6098692,25.0744253435933,e376271f726d,start_2412_eval_062_e376271f726d,,62,0.02037932492164691,98884.326291,25.0744253435933,0.40341985231239963,0.0,2412,ok,0.11673321798683536,10.13560537500598
4.066985977204059,0.02236381,0.6108846,27.314544590363163,b1061ca8233b,start_2412_eval_063_b1061ca8233b,,63,0.02037737999938326,98886.381108,27.314544590363163,0.4035470749820706,0.0,2412,ok,0.11679439071720661,10.13722520799638
4.07204754573986,0.02434327,0.6104448,25.07550236667602,04188e8aa9fa,start_2412_eval_064_04188e8aa9fa,,64,0.020391436129606512,98884.198675,25.07550236667602,0.40287716620464376,0.0,2412,ok,0.1167369483691609,9.891023750002205
4.065741494106465,0.02235739,0.6107237,27.315191299552424,dddfffd140d4,start_2412_eval_065_dddfffd140d4,,65,0.020374514274248662,98886.413012,27.315191299552424,0.40367214461987033,0.0,2412,ok,0.11678836039409429,10.45788100000209
4.061847342154591,0.02233794,0.6103394,27.321770862896805,d2f0182bad61,start_2412_eval_066_d2f0182bad61,,66,0.020380194773670375,98886.581505,27.321770862896805,0.4032689260780728,0.0,2412,ok,0.11677448283960926,9.901244374996168
4.063432332448356,0.02429587,0.6095236,25.08650702744839,ce065a9ce537,start_2412_eval_067_ce065a9ce537,,67,0.020382470260668344,98884.430976,25.08650702744839,0.40317040988497127,0.0,2412,ok,0.11674490049182902,9.93562679200113
4.066097566015133,0.02235849,0.6107948,27.317027356169568,add430eab600,start_2412_eval_068_add430eab600,,68,0.02037865256470453,98886.416003,27.317027356169568,0.40345290870779577,0.0,2412,ok,0.11678201816086221,9.826878624997335
